message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=9,118108, y=11,113422])";"30";"turtlesim1.sim";"1696262654.491615902";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,097562, y=11,113422])";"30";"turtlesim3.sim";"1696262654.490432410";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,097562, y=11,113422])";"30";"turtlesim2.sim";"1696262654.481390528";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,097562, y=11,113422])";"30";"turtlesim1.sim";"1696262654.475576515";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,077017, y=11,113422])";"30";"turtlesim3.sim";"1696262654.474528308";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,077017, y=11,113422])";"30";"turtlesim2.sim";"1696262654.465755381";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,077017, y=11,113422])";"30";"turtlesim1.sim";"1696262654.459997954";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,056471, y=11,113422])";"30";"turtlesim3.sim";"1696262654.459150393";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,056471, y=11,113422])";"30";"turtlesim2.sim";"1696262654.449743125";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,056471, y=11,113422])";"30";"turtlesim1.sim";"1696262654.443984346";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,035926, y=11,113422])";"30";"turtlesim3.sim";"1696262654.442237678";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,035926, y=11,113422])";"30";"turtlesim2.sim";"1696262654.433290613";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,035926, y=11,113422])";"30";"turtlesim1.sim";"1696262654.428042763";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,015380, y=11,113422])";"30";"turtlesim3.sim";"1696262654.426419696";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,015380, y=11,113422])";"30";"turtlesim2.sim";"1696262654.417766644";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,015380, y=11,113422])";"30";"turtlesim1.sim";"1696262654.412071665";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,994835, y=11,113422])";"30";"turtlesim3.sim";"1696262654.410576599";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,994835, y=11,113422])";"30";"turtlesim2.sim";"1696262654.401835110";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,994835, y=11,113422])";"30";"turtlesim1.sim";"1696262654.396121826";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,974289, y=11,113422])";"30";"turtlesim3.sim";"1696262654.394696451";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,974289, y=11,113422])";"30";"turtlesim2.sim";"1696262654.385370396";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,974289, y=11,113422])";"30";"turtlesim1.sim";"1696262654.380082590";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,953744, y=11,113422])";"30";"turtlesim3.sim";"1696262654.378760329";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,953744, y=11,113422])";"30";"turtlesim2.sim";"1696262654.369266438";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,953744, y=11,113422])";"30";"turtlesim1.sim";"1696262654.363996656";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,933198, y=11,113422])";"30";"turtlesim3.sim";"1696262654.362798187";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,933198, y=11,113422])";"30";"turtlesim2.sim";"1696262654.353994482";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,933198, y=11,113422])";"30";"turtlesim1.sim";"1696262654.348200697";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,912653, y=11,113422])";"30";"turtlesim3.sim";"1696262654.346695291";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,912653, y=11,113422])";"30";"turtlesim2.sim";"1696262654.337373524";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,912653, y=11,113422])";"30";"turtlesim1.sim";"1696262654.331765868";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,892107, y=11,113422])";"30";"turtlesim3.sim";"1696262654.331094158";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,892107, y=11,113422])";"30";"turtlesim2.sim";"1696262654.321366128";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,892107, y=11,113422])";"30";"turtlesim1.sim";"1696262654.315429625";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,871561, y=11,113422])";"30";"turtlesim3.sim";"1696262654.314528984";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,871561, y=11,113422])";"30";"turtlesim2.sim";"1696262654.306013671";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,871561, y=11,113422])";"30";"turtlesim1.sim";"1696262654.299587048";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,851016, y=11,113422])";"30";"turtlesim3.sim";"1696262654.299101336";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,851016, y=11,113422])";"30";"turtlesim2.sim";"1696262654.290120128";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,851016, y=11,113422])";"30";"turtlesim1.sim";"1696262654.284335590";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,830470, y=11,113422])";"30";"turtlesim3.sim";"1696262654.282941123";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,830470, y=11,113422])";"30";"turtlesim2.sim";"1696262654.273778224";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,830470, y=11,113422])";"30";"turtlesim1.sim";"1696262654.268090037";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,809925, y=11,113422])";"30";"turtlesim3.sim";"1696262654.266777483";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,809925, y=11,113422])";"30";"turtlesim2.sim";"1696262654.257325441";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,809925, y=11,113422])";"30";"turtlesim1.sim";"1696262654.252021115";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,789379, y=11,113422])";"30";"turtlesim3.sim";"1696262654.250449966";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,789379, y=11,113422])";"30";"turtlesim2.sim";"1696262654.241472044";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,789379, y=11,113422])";"30";"turtlesim1.sim";"1696262654.236085954";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,768834, y=11,113422])";"30";"turtlesim3.sim";"1696262654.234502752";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,768834, y=11,113422])";"30";"turtlesim2.sim";"1696262654.225618286";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,768834, y=11,113422])";"30";"turtlesim1.sim";"1696262654.219996364";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,748288, y=11,113422])";"30";"turtlesim3.sim";"1696262654.218671416";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,748288, y=11,113422])";"30";"turtlesim2.sim";"1696262654.209691611";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,748288, y=11,113422])";"30";"turtlesim1.sim";"1696262654.203953240";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,727743, y=11,113422])";"30";"turtlesim3.sim";"1696262654.202795407";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,727743, y=11,113422])";"30";"turtlesim2.sim";"1696262654.193498045";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,727743, y=11,113422])";"30";"turtlesim1.sim";"1696262654.187887174";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,707197, y=11,113422])";"30";"turtlesim3.sim";"1696262654.186824028";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,707197, y=11,113422])";"30";"turtlesim2.sim";"1696262654.177503012";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,707197, y=11,113422])";"30";"turtlesim1.sim";"1696262654.171877863";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,686652, y=11,113422])";"30";"turtlesim3.sim";"1696262654.171007249";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,686652, y=11,113422])";"30";"turtlesim2.sim";"1696262654.161868185";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,686652, y=11,113422])";"30";"turtlesim1.sim";"1696262654.155962700";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,666106, y=11,113422])";"30";"turtlesim3.sim";"1696262654.154181036";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,666106, y=11,113422])";"30";"turtlesim2.sim";"1696262654.145661384";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,666106, y=11,113422])";"30";"turtlesim1.sim";"1696262654.140037298";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,645560, y=11,113422])";"30";"turtlesim3.sim";"1696262654.138312671";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,645560, y=11,113422])";"30";"turtlesim2.sim";"1696262654.129636876";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,645560, y=11,113422])";"30";"turtlesim1.sim";"1696262654.124140118";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,625015, y=11,113422])";"30";"turtlesim3.sim";"1696262654.122517232";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,625015, y=11,113422])";"30";"turtlesim2.sim";"1696262654.113731181";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,625015, y=11,113422])";"30";"turtlesim1.sim";"1696262654.108143953";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,604469, y=11,113422])";"30";"turtlesim3.sim";"1696262654.106748323";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,604469, y=11,113422])";"30";"turtlesim2.sim";"1696262654.097881470";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,604469, y=11,113422])";"30";"turtlesim1.sim";"1696262654.092093526";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,583924, y=11,113422])";"30";"turtlesim3.sim";"1696262654.090876952";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,583924, y=11,113422])";"30";"turtlesim2.sim";"1696262654.081890855";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,583924, y=11,113422])";"30";"turtlesim1.sim";"1696262654.075963900";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,563378, y=11,113422])";"30";"turtlesim3.sim";"1696262654.075083137";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,563378, y=11,113422])";"30";"turtlesim2.sim";"1696262654.065561765";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,563378, y=11,113422])";"30";"turtlesim1.sim";"1696262654.059628097";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=8,542833, y=11,113422])";"30";"turtlesim3.sim";"1696262654.058162767";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
